,cod_new,dsg_new,cod_old,dsg_old,Designação antiga,Observações (até 2013),Observações (após 2013),Concelho,Unnamed: 8,Unnamed: 9
2555,130335,"UNIÃO DAS FREGUESIAS DE MARGARIDE (SANTA EULÁLIA), VÁRZEA, LAGARES, VARZIELA E MOURE",130311,MOURE,,,,FELGUEIRAS,,
2556,130335,"UNIÃO DAS FREGUESIAS DE MARGARIDE (SANTA EULÁLIA), VÁRZEA, LAGARES, VARZIELA E MOURE",130320,MARGARIDE (SANTA EULÁLIA),MARGARIDE (SANTA EULÁLIA),,,FELGUEIRAS,,
2557,130335,"UNIÃO DAS FREGUESIAS DE MARGARIDE (SANTA EULÁLIA), VÁRZEA, LAGARES, VARZIELA E MOURE",130329,VÁRZEA,,,,FELGUEIRAS,,
2558,130335,"UNIÃO DAS FREGUESIAS DE MARGARIDE (SANTA EULÁLIA), VÁRZEA, LAGARES, VARZIELA E MOURE",130330,VARZIELA,,,,FELGUEIRAS,,
2559,130336,"UNIÃO DAS FREGUESIAS DE PEDREIRA, RANDE E SERNANDE",130312,PEDREIRA,,,,FELGUEIRAS,,
2560,130336,"UNIÃO DAS FREGUESIAS DE PEDREIRA, RANDE E SERNANDE",130316,RANDE,,,,FELGUEIRAS,,
2561,130336,"UNIÃO DAS FREGUESIAS DE PEDREIRA, RANDE E SERNANDE",130325,SERNANDE,,,,FELGUEIRAS,,
2562,130337,UNIÃO DAS FREGUESIAS DE TORRADOS E SOUSA,130326,SOUSA,,,,FELGUEIRAS,,
2563,130337,UNIÃO DAS FREGUESIAS DE TORRADOS E SOUSA,130327,TORRADOS,,,,FELGUEIRAS,,
2564,130338,UNIÃO DAS FREGUESIAS DE UNHÃO E LORDELO,130328,UNHÃO,,,,FELGUEIRAS,,
2565,130338,UNIÃO DAS FREGUESIAS DE UNHÃO E LORDELO,130309,LORDELO,,,,FELGUEIRAS,,
2566,130339,UNIÃO DAS FREGUESIAS DE VILA COVA DA LIXA E BORBA DE GODIM,130303,BORBA DE GODIM,,,,FELGUEIRAS,,
2567,130339,UNIÃO DAS FREGUESIAS DE VILA COVA DA LIXA E BORBA DE GODIM,130331,VILA COVA DA LIXA,,,,FELGUEIRAS,,
2568,130340,UNIÃO DAS FREGUESIAS DE VILA FRIA E VIZELA (SÃO JORGE),130323,VIZELA (SÃO JORGE),,,,FELGUEIRAS,,
2569,130340,UNIÃO DAS FREGUESIAS DE VILA FRIA E VIZELA (SÃO JORGE),130332,VILA FRIA,,,,FELGUEIRAS,,
2570,130341,UNIÃO DAS FREGUESIAS DE VILA VERDE E SANTÃO,130321,SANTÃO,,,,FELGUEIRAS,,
2571,130341,UNIÃO DAS FREGUESIAS DE VILA VERDE E SANTÃO,130333,VILA VERDE,,,,FELGUEIRAS,,
2572,130405,LOMBA,130405,LOMBA,,,,GONDOMAR,,
2573,130408,RIO TINTO,130408,RIO TINTO,,"EM 1985 DEU ORIGEM À FREG. DE BAGUIM DO MONTE (L. 127/85, DE 4 OUT.)",Alteração do limite (L. 35/2017 de 2 junho e L. 40/2017 de 5 junho ) ,GONDOMAR,,
